Stopword;Language;English translation;Source
estava;PORTUGUESE;;stopwords-original.csv
sejais;PORTUGUESE;;stopwords-new-PT-20110831.csv
οὐκ;GREEK;;stopwords-original.csv
toda;PORTUGUESE;all;stopwords-new-PT-20110831.csv
joina;FINNISH;(pl);stopwords-original.csv
tenga;SPANISH;;stopwords-original.csv
γάρ;GREEK;;stopwords-original.csv
fuésemos;SPANISH;;stopwords-original.csv
aviez;FRENCH;;stopwords-original.csv
fostes;PORTUGUESE;;stopwords-new-PT-20110831.csv
toen;DUTCH;then, when;stopwords-original.csv
niissä;FINNISH;they;stopwords-original.csv
denselben;GERMAN;;stopwords-original.csv
denna;SWEDISH;this/that;stopwords-original.csv
iets;DUTCH;something, somewhat;stopwords-original.csv
même;FRENCH;same, as in moi-même (myself) etc;stopwords-original.csv
maar;DUTCH;but, only;stopwords-original.csv
teiltä;FINNISH;you;stopwords-original.csv
êtes;FRENCH;;stopwords-original.csv
where;ENGLISH;;stopwords-original.csv
tened;SPANISH;;stopwords-original.csv
estejamos;PORTUGUESE;;stopwords-original.csv
gewesen;GERMAN;p.p. of sein;stopwords-original.csv
tuotä;FINNISH;that;stopwords-original.csv
niiksi;FINNISH;they;stopwords-original.csv
hers;ENGLISH;possessive pronoun;stopwords-original.csv
here;ENGLISH;;stopwords-original.csv
auriez;FRENCH;;stopwords-original.csv
saknas;SWEDISH;;stopwords-new-SW-20111107.csv
mucho;SPANISH;much, many;stopwords-original.csv
niinä;FINNISH;they;stopwords-original.csv
daqueles;PORTUGUESE;de + aqueles;stopwords-new-PT-20110831.csv
quantos;PORTUGUESE;how many;stopwords-new-PT-20110831.csv
aquelas;PORTUGUESE;those;stopwords-original.csv
while;ENGLISH;;stopwords-original.csv
avaient;FRENCH;;stopwords-original.csv
μέν;GREEK;;stopwords-original.csv
below;ENGLISH;;stopwords-original.csv
ditt;SWEDISH;thy;stopwords-original.csv
inte;SWEDISH;inte någon = no one;stopwords-original.csv
into;ENGLISH;;stopwords-original.csv
derselben;GERMAN;;stopwords-original.csv
desses;PORTUGUESE;de + esses;stopwords-new-PT-20110831.csv
alguém;PORTUGUESE;someone;stopwords-new-PT-20110831.csv
dessen;GERMAN;of him;stopwords-original.csv
γε;GREEK;;stopwords-original.csv
δέ;GREEK;;stopwords-original.csv
δή;GREEK;;stopwords-original.csv
habrán;SPANISH;;stopwords-original.csv
tendes;PORTUGUESE;;stopwords-new-PT-20110831.csv
habrás;SPANISH;;stopwords-original.csv
olisitte;FINNISH;;stopwords-original.csv
nenhum;PORTUGUESE;any;stopwords-new-PT-20110831.csv
mitt;SWEDISH;my;stopwords-original.csv
hubiese;SPANISH;;stopwords-original.csv
serais;FRENCH;;stopwords-original.csv
its;ENGLISH;possessive adjective;stopwords-original.csv
blev;SWEDISH;from bli;stopwords-original.csv
nós;PORTUGUESE;we;stopwords-original.csv
serait;FRENCH;;stopwords-original.csv
vossos;PORTUGUESE;your, yours;stopwords-new-PT-20110831.csv
eso;SPANISH;that;stopwords-original.csv
eivät;FINNISH;;stopwords-original.csv
nesse;PORTUGUESE;em + esse;stopwords-new-PT-20110831.csv
eue;FRENCH;;stopwords-original.csv
fôsseis;PORTUGUESE;;stopwords-new-PT-20110831.csv
hubiera;SPANISH;;stopwords-original.csv
nessa;PORTUGUESE;em + essa;stopwords-new-PT-20110831.csv
under;ENGLISH|SWEDISH;|under (also: wonder);stopwords-original.csv
ὑμόσ;GREEK;;stopwords-original.csv
olette;FINNISH;;stopwords-original.csv
ett;SWEDISH;a;stopwords-original.csv|stopwords-new-SW-20111107.csv
koska;FINNISH;because;stopwords-original.csv
πρόσ;GREEK;;stopwords-original.csv
nuestras;SPANISH;;stopwords-original.csv
mihin;FINNISH;which what;stopwords-original.csv
eut;FRENCH;;stopwords-original.csv
eux;FRENCH;them;stopwords-original.csv
estáveis;PORTUGUESE;;stopwords-new-PT-20110831.csv
musste;GERMAN;had to;stopwords-original.csv
keiksi;FINNISH;(pl);stopwords-original.csv
num;PORTUGUESE;em + um;stopwords-original.csv
inom;SWEDISH;within;stopwords-original.csv|stopwords-new-SW-20111107.csv
nuo;FINNISH;those;stopwords-original.csv
meus;PORTUGUESE;my;stopwords-original.csv
hubieron;SPANISH;;stopwords-original.csv
vara;SWEDISH;be;stopwords-original.csv
kanssa;FINNISH;with;stopwords-original.csv
you'll;ENGLISH;;stopwords-original.csv
blir;SWEDISH;from bli;stopwords-original.csv
τῆσ;GREEK;;stopwords-original.csv
derer;GERMAN;of those;stopwords-original.csv
muss;GERMAN;must;stopwords-original.csv
who's;ENGLISH;;stopwords-original.csv
noina;FINNISH;those;stopwords-original.csv
mitä;FINNISH;which what;stopwords-original.csv
esas;SPANISH;those;stopwords-original.csv
vart;SWEDISH;each;stopwords-original.csv
vars;SWEDISH;whose;stopwords-original.csv
étiez;FRENCH;;stopwords-original.csv
serão;PORTUGUESE;;stopwords-original.csv
foste;PORTUGUESE;;stopwords-new-PT-20110831.csv
ihres;GERMAN;;stopwords-original.csv
siksi;FINNISH;it;stopwords-original.csv
olla;FINNISH;;stopwords-original.csv
tivéssemos;PORTUGUESE;;stopwords-original.csv
werde;GERMAN;will;stopwords-original.csv
yours;ENGLISH;possessive pronoun;stopwords-original.csv
kenen;FINNISH;who;stopwords-original.csv
περί;GREEK;;stopwords-original.csv
ese;SPANISH;that;stopwords-original.csv
serás;SPANISH|PORTUGUESE;|;stopwords-original.csv|stopwords-new-PT-20110831.csv
esa;SPANISH;that;stopwords-original.csv
estejas;PORTUGUESE;;stopwords-new-PT-20110831.csv
serán;SPANISH;;stopwords-original.csv
jonka;FINNISH;who which;stopwords-original.csv
sont;FRENCH;;stopwords-original.csv
suyos;SPANISH;;stopwords-original.csv
deras;SWEDISH;their;stopwords-original.csv
hubimos;SPANISH;;stopwords-original.csv
estejam;PORTUGUESE;;stopwords-original.csv
ert;SWEDISH;your;stopwords-original.csv
ihrem;GERMAN;;stopwords-original.csv
tämän;FINNISH;this;stopwords-original.csv
very;ENGLISH;;stopwords-original.csv
jota;FINNISH;who which;stopwords-original.csv
vilket;SWEDISH;who, that;stopwords-original.csv
vossa;PORTUGUESE;your, yours;stopwords-new-PT-20110831.csv
hajais;PORTUGUESE;;stopwords-new-PT-20110831.csv
vosso;PORTUGUESE;your, yours;stopwords-new-PT-20110831.csv
hubiste;SPANISH;;stopwords-original.csv
can't;ENGLISH;;stopwords-original.csv
soll;GERMAN;shall;stopwords-original.csv
teniendo;SPANISH;;stopwords-original.csv
yourself;ENGLISH;reflexive (singular);stopwords-original.csv
ela;PORTUGUESE;he;stopwords-original.csv
ele;PORTUGUESE;he;stopwords-original.csv
nog;DUTCH;yet, still;stopwords-original.csv
olleet;FINNISH;;stopwords-original.csv
again;ENGLISH;;stopwords-original.csv
fuerais;SPANISH;;stopwords-original.csv
notre;FRENCH;our;stopwords-original.csv
nor;ENGLISH;;stopwords-original.csv
haven't;ENGLISH;;stopwords-original.csv
hubisteis;SPANISH;;stopwords-original.csv
estiveste;PORTUGUESE;;stopwords-new-PT-20110831.csv
myself;ENGLISH;reflexive;stopwords-original.csv
vilken;SWEDISH;who, that;stopwords-original.csv
kunde;SWEDISH;could;stopwords-original.csv
some;ENGLISH;;stopwords-original.csv
hubiéramos;SPANISH;;stopwords-original.csv
mina;SWEDISH;my;stopwords-original.csv
sois;FRENCH|SPANISH|PORTUGUESE;||;stopwords-original.csv|stopwords-new-PT-20110831.csv
soit;FRENCH;;stopwords-original.csv
eût;FRENCH;;stopwords-original.csv
wezen;DUTCH;(1) to be, (2) 'been' as in 'been fishing', (3) orphans;stopwords-original.csv
wordt;DUTCH;present third person sing. of 'become';stopwords-original.csv
iemand;DUTCH;somebody;stopwords-original.csv
estivesse;PORTUGUESE;;stopwords-original.csv
suya;SPANISH;;stopwords-original.csv
houvesse;PORTUGUESE;;stopwords-original.csv
houvera;PORTUGUESE;;stopwords-original.csv
suyo;SPANISH;his, hers, theirs;stopwords-original.csv
mikä;FINNISH;which what;stopwords-original.csv
estaremos;SPANISH;;stopwords-original.csv
estaba;SPANISH;;stopwords-original.csv
derselbe;GERMAN;the same;stopwords-original.csv
vilkas;SWEDISH;whose;stopwords-original.csv
alguma;PORTUGUESE;some;stopwords-new-PT-20110831.csv
teriam;PORTUGUESE;;stopwords-original.csv
there's;ENGLISH;;stopwords-original.csv
houveste;PORTUGUESE;;stopwords-new-PT-20110831.csv
οὕτωσ;GREEK;;stopwords-original.csv
terias;PORTUGUESE;;stopwords-new-PT-20110831.csv
sería;SPANISH;;stopwords-original.csv
haveis;PORTUGUESE;;stopwords-new-PT-20110831.csv
perante;PORTUGUESE;;stopwords-new-PT-20110831.csv
hennes;SWEDISH;her;stopwords-original.csv
noita;FINNISH;those;stopwords-original.csv
meidät;FINNISH;we;stopwords-original.csv
ὥστε;GREEK;;stopwords-original.csv
ein;GERMAN;a;stopwords-original.csv
tenías;SPANISH;;stopwords-original.csv
mellan;SWEDISH;between;stopwords-original.csv
estada;SPANISH;;stopwords-original.csv
let's;ENGLISH;;stopwords-original.csv
because;ENGLISH;;stopwords-original.csv
minä;FINNISH;I;stopwords-original.csv
tivéreis;PORTUGUESE;;stopwords-new-PT-20110831.csv
nesta;PORTUGUESE;em + esta;stopwords-new-PT-20110831.csv
meihin;FINNISH;we;stopwords-original.csv
estivéreis;PORTUGUESE;;stopwords-new-PT-20110831.csv
samma;SWEDISH;(the) same;stopwords-original.csv
houverá;PORTUGUESE;;stopwords-original.csv
estado;SPANISH;;stopwords-original.csv
alguns;PORTUGUESE;some;stopwords-new-PT-20110831.csv
haveríeis;PORTUGUESE;;stopwords-new-PT-20110831.csv
onder;DUTCH;under, beneath;stopwords-original.csv
tenían;SPANISH;;stopwords-original.csv
habré;SPANISH;;stopwords-original.csv
onde;PORTUGUESE;where;stopwords-new-PT-20110831.csv
blivit;SWEDISH;from bli;stopwords-original.csv
serei;PORTUGUESE;;stopwords-original.csv
over;DUTCH|ENGLISH;over, across|;stopwords-original.csv
mutta;FINNISH;but;stopwords-original.csv
heistä;FINNISH;they;stopwords-original.csv
she;ENGLISH;subject;stopwords-original.csv
olitte;FINNISH;;stopwords-original.csv
serez;FRENCH;;stopwords-original.csv
hayas;SPANISH;;stopwords-original.csv
hänestä;FINNISH;he she;stopwords-original.csv
ninguém;PORTUGUESE;no one;stopwords-new-PT-20110831.csv
further;ENGLISH;;stopwords-original.csv
eûmes;FRENCH;;stopwords-original.csv
veel;DUTCH;much, many;stopwords-original.csv
selbst;GERMAN;self;stopwords-original.csv
hayan;SPANISH;;stopwords-original.csv
houveremos;PORTUGUESE;;stopwords-original.csv
estadas;SPANISH;;stopwords-original.csv
étées;FRENCH;;stopwords-original.csv
she's;ENGLISH;;stopwords-original.csv
before;ENGLISH;;stopwords-original.csv
pois;PORTUGUESE;because;stopwords-new-PT-20110831.csv
διά;GREEK;;stopwords-original.csv
tendrás;SPANISH;;stopwords-original.csv
welcher;GERMAN;;stopwords-original.csv
welches;GERMAN;;stopwords-original.csv
tendrán;SPANISH;;stopwords-original.csv
sejamos;PORTUGUESE;;stopwords-original.csv
häneltä;FINNISH;he she;stopwords-original.csv
welchen;GERMAN;;stopwords-original.csv
she'd;ENGLISH;;stopwords-original.csv
could;ENGLISH;;stopwords-original.csv
welchem;GERMAN;;stopwords-original.csv
furent;FRENCH;;stopwords-original.csv
esteja;PORTUGUESE;;stopwords-original.csv
παρά;GREEK;;stopwords-original.csv
häfte;SWEDISH;;stopwords-new-SW-20111107.csv
niillä;FINNISH;they;stopwords-original.csv
hubiesen;SPANISH;;stopwords-original.csv
serie;SWEDISH;;stopwords-new-SW-20111107.csv
vuestras;SPANISH;;stopwords-original.csv
seria;PORTUGUESE;;stopwords-original.csv
keiden;FINNISH;(pl);stopwords-original.csv
sin;SPANISH|SWEDISH;without|his;stopwords-original.csv
enquanto;PORTUGUESE;while;stopwords-new-PT-20110831.csv
hubieses;SPANISH;;stopwords-original.csv
quienes;SPANISH;who;stopwords-original.csv
sig;SWEDISH;him(self) etc;stopwords-original.csv
och;SWEDISH;and;stopwords-original.csv|stopwords-new-SW-20111107.csv
connosco;PORTUGUESE;with us;stopwords-new-PT-20110831.csv
same;ENGLISH;;stopwords-original.csv
who;ENGLISH;;stopwords-original.csv
fueseis;SPANISH;;stopwords-original.csv
ovat;FINNISH;;stopwords-original.csv
deste;PORTUGUESE;de + este;stopwords-new-PT-20110831.csv
hemos;SPANISH;;stopwords-original.csv
mijn;DUTCH;possessive and noun 'mine';stopwords-original.csv
samt;SWEDISH;;stopwords-new-SW-20111107.csv
también;SPANISH;also;stopwords-original.csv
são;PORTUGUESE;;stopwords-original.csv
todas;PORTUGUESE;all;stopwords-new-PT-20110831.csv
i'd;ENGLISH;;stopwords-original.csv
emme;FINNISH;;stopwords-original.csv
houvéreis;PORTUGUESE;;stopwords-new-PT-20110831.csv
against;ENGLISH;;stopwords-original.csv
i'm;ENGLISH;;stopwords-original.csv
hänessä;FINNISH;he she;stopwords-original.csv
houvéssemos;PORTUGUESE;;stopwords-original.csv
trás;PORTUGUESE;back;stopwords-new-PT-20110831.csv
ses;FRENCH;his (pl);stopwords-original.csv
seu;PORTUGUESE;his;stopwords-original.csv
keihin;FINNISH;(pl);stopwords-original.csv
aient;FRENCH;;stopwords-original.csv
från;SWEDISH;from, off;stopwords-original.csv|stopwords-new-SW-20111107.csv
ἀπό;GREEK;;stopwords-original.csv
muchos;SPANISH;many;stopwords-original.csv
niille;FINNISH;they;stopwords-original.csv
fomos;PORTUGUESE;;stopwords-original.csv
she'll;ENGLISH;;stopwords-original.csv
sea;SPANISH;;stopwords-original.csv
wil;DUTCH;(1) present tense of 'want', (2) 'will', noun, (3) fender;stopwords-original.csv
wij;DUTCH;we;stopwords-new-NL-20110901.csv
cuando;SPANISH;when;stopwords-original.csv
off;ENGLISH;;stopwords-original.csv
suis;FRENCH;;stopwords-original.csv
sem;PORTUGUESE;without;stopwords-original.csv
why;ENGLISH;;stopwords-original.csv
heihin;FINNISH;they;stopwords-original.csv
they;ENGLISH;subject;stopwords-original.csv
heidän;FINNISH;they;stopwords-original.csv
zwar;GERMAN;indeed;stopwords-original.csv
you've;ENGLISH;;stopwords-original.csv
heidät;FINNISH;they;stopwords-original.csv
formos;PORTUGUESE;;stopwords-original.csv
joissa;FINNISH;(pl);stopwords-original.csv
only;ENGLISH;;stopwords-original.csv
habido;SPANISH;;stopwords-original.csv
havereis;PORTUGUESE;;stopwords-new-PT-20110831.csv
siltä;FINNISH;it;stopwords-original.csv
soy;SPANISH;;stopwords-original.csv
som;SWEDISH;who, that;stopwords-original.csv|stopwords-new-SW-20111107.csv
aurez;FRENCH;;stopwords-original.csv
avais;FRENCH;;stopwords-original.csv
avait;FRENCH;;stopwords-original.csv
soi;FRENCH;oneself;stopwords-original.csv
them;ENGLISH;object;stopwords-original.csv
then;ENGLISH;;stopwords-original.csv
hubiésemos;SPANISH;;stopwords-original.csv
aurais;FRENCH;;stopwords-original.csv
aurait;FRENCH;;stopwords-original.csv
comigo;PORTUGUESE;with me;stopwords-new-PT-20110831.csv
sob;PORTUGUESE;under;stopwords-new-PT-20110831.csv
eusse;FRENCH;;stopwords-original.csv
wirst;GERMAN;willst;stopwords-original.csv
será;PORTUGUESE|SPANISH;|;stopwords-original.csv
nossos;PORTUGUESE;;stopwords-original.csv
δαί;GREEK;;stopwords-original.csv
seré;SPANISH;;stopwords-original.csv
where's;ENGLISH;;stopwords-original.csv
hänellä;FINNISH;he she;stopwords-original.csv
aren't;ENGLISH;;stopwords-original.csv
kod;SWEDISH;;stopwords-new-SW-20111107.csv
niiltä;FINNISH;they;stopwords-original.csv
niihin;FINNISH;they;stopwords-original.csv
fossem;PORTUGUESE;;stopwords-original.csv
fosses;PORTUGUESE;;stopwords-new-PT-20110831.csv
don't;ENGLISH;;stopwords-original.csv
it's;ENGLISH;;stopwords-original.csv
soyez;FRENCH;;stopwords-original.csv
joista;FINNISH;(pl);stopwords-original.csv
seras;FRENCH;;stopwords-original.csv
you're;ENGLISH;;stopwords-original.csv
estados;SPANISH;;stopwords-original.csv
nyt;FINNISH;now;stopwords-original.csv
minusta;FINNISH;I;stopwords-original.csv
hatte;GERMAN;had;stopwords-original.csv
poco;SPANISH;few;stopwords-original.csv
zonder;DUTCH;without;stopwords-original.csv
serai;FRENCH;;stopwords-original.csv
jossa;FINNISH;who which;stopwords-original.csv
keneksi;FINNISH;who;stopwords-original.csv
über;GERMAN;over;stopwords-original.csv
niin;FINNISH;so;stopwords-original.csv
isn't;ENGLISH;;stopwords-original.csv
auras;FRENCH;;stopwords-original.csv
such;ENGLISH;;stopwords-original.csv
ἀλλ’;GREEK;;stopwords-original.csv
outro;PORTUGUESE;other;stopwords-new-PT-20110831.csv
nummer;SWEDISH;;stopwords-new-SW-20111107.csv
eres;SPANISH;;stopwords-original.csv
siihen;FINNISH;it;stopwords-original.csv
aurai;FRENCH;;stopwords-original.csv
tendría;SPANISH;;stopwords-original.csv
efter;SWEDISH;after, behind;stopwords-original.csv|stopwords-new-SW-20111107.csv
joiksi;FINNISH;(pl);stopwords-original.csv
seus;PORTUGUESE;his;stopwords-original.csv
josta;FINNISH;who which;stopwords-original.csv
this;ENGLISH;;stopwords-original.csv
from;ENGLISH;;stopwords-original.csv
fueron;SPANISH;;stopwords-original.csv
sera;FRENCH;;stopwords-original.csv
wat;DUTCH;what, something, anything;stopwords-original.csv
war;GERMAN;was;stopwords-original.csv
estiver;PORTUGUESE;;stopwords-original.csv
between;ENGLISH;;stopwords-original.csv
teríamos;PORTUGUESE;;stopwords-original.csv
habrá;SPANISH;;stopwords-original.csv
habida;SPANISH;;stopwords-original.csv
ourselves;ENGLISH;reflexive;stopwords-original.csv
δαίσ;GREEK;;stopwords-original.csv
minussa;FINNISH;I;stopwords-original.csv
suas;PORTUGUESE;her;stopwords-original.csv
sejam;PORTUGUESE;;stopwords-original.csv
sejas;PORTUGUESE;;stopwords-new-PT-20110831.csv
themselves;ENGLISH;reflexive;stopwords-original.csv
ainda;PORTUGUESE;still, yet;stopwords-new-PT-20110831.csv
jener;GERMAN;;stopwords-original.csv
vuestros;SPANISH;;stopwords-original.csv
jenes;GERMAN;;stopwords-original.csv
tuviste;SPANISH;;stopwords-original.csv
they'll;ENGLISH;;stopwords-original.csv
tivessem;PORTUGUESE;;stopwords-original.csv
debaixo;PORTUGUESE;under;stopwords-new-PT-20110831.csv
hänet;FINNISH;he she;stopwords-original.csv
eram;PORTUGUESE;;stopwords-original.csv
eran;SPANISH;;stopwords-original.csv
tivesses;PORTUGUESE;;stopwords-new-PT-20110831.csv
eras;SPANISH|PORTUGUESE;|;stopwords-original.csv|stopwords-new-PT-20110831.csv
keissä;FINNISH;(pl);stopwords-original.csv
disso;PORTUGUESE;de + isso;stopwords-new-PT-20110831.csv
sillä;FINNISH;it;stopwords-original.csv
estéis;SPANISH;;stopwords-original.csv
hänen;FINNISH;he she;stopwords-original.csv
ἐμόσ;GREEK;;stopwords-original.csv
honom;SWEDISH;him;stopwords-original.csv
seríais;SPANISH;;stopwords-original.csv
angående;SWEDISH;;stopwords-new-SW-20111107.csv
noissa;FINNISH;those;stopwords-original.csv
own;ENGLISH;;stopwords-original.csv
tuas;PORTUGUESE;;stopwords-original.csv
seríeis;PORTUGUESE;;stopwords-new-PT-20110831.csv
keistä;FINNISH;(pl);stopwords-original.csv
kenessä;FINNISH;who;stopwords-original.csv
nunca;PORTUGUESE;never;stopwords-new-PT-20110831.csv
estuvimos;SPANISH;;stopwords-original.csv
solcher;GERMAN;;stopwords-original.csv
solches;GERMAN;;stopwords-original.csv
fueses;SPANISH;;stopwords-original.csv
lucka;SWEDISH;;stopwords-new-SW-20111107.csv
estáis;SPANISH;;stopwords-original.csv
fuesen;SPANISH;;stopwords-original.csv
haja;PORTUGUESE;;stopwords-original.csv
noista;FINNISH;those;stopwords-original.csv
heillä;FINNISH;they;stopwords-original.csv
estivera;PORTUGUESE;;stopwords-original.csv
tenhais;PORTUGUESE;;stopwords-new-PT-20110831.csv
fus;FRENCH;;stopwords-original.csv
fut;FRENCH;;stopwords-original.csv
houverdes;PORTUGUESE;;stopwords-new-PT-20110831.csv
kenestä;FINNISH;who;stopwords-original.csv
οὔτε;GREEK;;stopwords-original.csv
outra;PORTUGUESE;other;stopwords-new-PT-20110831.csv
ὅσ;GREEK;;stopwords-original.csv
habréis;SPANISH;;stopwords-original.csv
quaisquer;PORTUGUESE;any;stopwords-new-PT-20110831.csv
tuon;FINNISH;that;stopwords-original.csv
solchen;GERMAN;;stopwords-original.csv
solchem;GERMAN;;stopwords-original.csv
varför;SWEDISH;why;stopwords-original.csv
estuve;SPANISH;;stopwords-original.csv
both;ENGLISH;;stopwords-original.csv
tudo;PORTUGUESE;all;stopwords-new-PT-20110831.csv
hade;SWEDISH;had;stopwords-original.csv
ἄρα;GREEK;;stopwords-original.csv
after;ENGLISH;;stopwords-original.csv
altijd;DUTCH;always;stopwords-original.csv
minkä;FINNISH;which what;stopwords-original.csv
tivera;PORTUGUESE;;stopwords-original.csv
tuosta;FINNISH;that;stopwords-original.csv
inneh;SWEDISH;;stopwords-new-SW-20111107.csv
what's;ENGLISH;;stopwords-original.csv
fue;SPANISH;;stopwords-original.csv
seamos;SPANISH;;stopwords-original.csv
tuve;SPANISH;;stopwords-original.csv
fui;PORTUGUESE|SPANISH;|;stopwords-original.csv
tuvo;SPANISH;;stopwords-original.csv
that;ENGLISH;;stopwords-original.csv
estuvo;SPANISH;;stopwords-original.csv
indem;GERMAN;while;stopwords-original.csv
zum;GERMAN;zu + dem;stopwords-original.csv
